id,booking_id,room_id,check_in_expected,check_out_expected,check_in_actual,check_out_actual,price_per_night
4750,4750,10,2018-09-18,2018-09-25,2018-09-18,2018-09-25,91.12
4751,4751,1,2017-08-14,2017-08-16,2017-08-14,2017-08-16,109.0
4752,4752,2,2018-11-25,2018-11-26,,,67.5
4753,4753,3,2018-07-18,2018-07-27,,,72.25
4754,4754,4,2018-02-17,2018-02-20,2018-02-17,2018-02-20,75.0
4755,4755,5,2018-09-08,2018-09-11,,,70.0
4756,4756,6,2018-08-11,2018-08-13,2018-08-11,2018-08-13,123.3
4757,4757,7,2017-10-07,2017-10-11,2017-10-07,2017-10-11,70.0
4758,4758,8,2018-10-09,2018-10-12,2018-10-09,2018-10-12,177.62
4759,4759,39,2018-02-27,2018-03-01,2018-02-27,2018-03-01,117.0
4760,4760,10,2017-10-13,2017-10-14,2017-10-13,2017-10-14,65.0
4761,4761,1,2018-06-10,2018-06-13,2018-06-10,2018-06-13,75.33
4762,4762,32,2018-09-26,2018-09-30,,,164.0
4763,4763,3,2018-08-01,2018-08-03,2018-08-01,2018-08-03,94.5
4764,4764,54,2018-05-07,2018-05-13,,,170.17
4765,4765,5,2017-08-29,2017-09-01,2017-08-29,2017-09-01,94.5
4766,4766,16,2018-04-04,2018-04-08,2018-04-04,2018-04-08,6.0
4767,4767,7,2017-10-13,2017-10-14,2017-10-13,2017-10-14,84.0
4768,4768,8,2017-12-31,2018-01-01,2017-12-31,2018-01-01,77.5
4769,4769,9,2018-07-25,2018-07-28,2018-07-25,2018-07-28,77.03
4770,4770,10,2017-09-18,2017-09-20,2017-09-18,2017-09-20,109.0
4771,4771,1,2017-10-21,2017-10-22,2017-10-21,2017-10-22,145.0
4772,4772,2,2018-10-14,2018-10-16,,,115.0
4773,4773,3,2018-10-28,2018-11-01,2018-10-28,2018-11-01,130.0
4774,4774,34,2017-10-16,2017-10-18,2017-10-16,2017-10-18,78.54
4775,4775,5,2018-03-25,2018-03-28,,,59.5
4776,4776,6,2018-02-28,2018-03-03,,,60.0
4777,4777,7,2018-06-02,2018-06-04,2018-06-02,2018-06-04,140.0
4778,4778,8,2018-12-02,2018-12-05,2018-12-02,2018-12-05,80.0
4779,4779,9,2018-08-05,2018-08-06,2018-08-05,2018-08-06,12.0
4780,4780,40,2017-10-26,2017-10-29,2017-10-26,2017-10-29,75.0
4781,4781,1,2017-08-04,2017-08-06,2017-08-04,2017-08-06,65.0
4782,4782,2,2018-11-01,2018-11-04,,,110.0
4783,4783,3,2017-08-17,2017-08-22,2017-08-17,2017-08-22,83.47
4784,4784,4,2018-08-28,2018-09-03,2018-08-28,2018-09-03,81.31
4785,4785,5,2018-04-22,2018-04-26,,,106.0
4786,4786,6,2018-08-13,2018-08-15,,,105.3
4787,4787,47,2018-09-26,2018-09-27,2018-09-26,2018-09-27,195.0
4788,4788,8,2018-05-04,2018-05-07,2018-05-04,2018-05-07,80.0
4789,4789,39,2018-04-08,2018-04-11,2018-04-08,2018-04-11,131.33
4790,4790,40,2018-05-20,2018-05-23,,,139.6
4791,4791,1,2018-02-23,2018-02-25,2018-02-23,2018-02-25,89.3
4792,4792,2,2018-02-27,2018-03-03,,,60.0
4793,4793,53,2018-10-28,2018-11-01,,,160.65
4794,4794,4,2017-09-15,2017-09-17,2017-09-15,2017-09-17,114.0
4795,4795,5,2018-03-25,2018-03-29,,,59.5
4796,4796,6,2018-06-18,2018-06-21,2018-06-18,2018-06-21,95.83
4797,4797,37,2018-07-20,2018-07-22,2018-07-20,2018-07-22,159.3
4798,4798,8,2018-05-05,2018-05-08,,,100.0
4799,4799,9,2018-09-08,2018-09-11,,,110.0
4800,4800,10,2018-05-29,2018-06-01,,,90.0
4801,4801,1,2018-12-28,2019-01-01,2018-12-28,2019-01-01,102.0
4802,4802,2,2017-09-30,2017-10-02,2017-09-30,2017-10-02,108.0
4803,4803,3,2017-11-13,2017-11-15,2017-11-13,2017-11-15,75.0
4804,4804,4,2018-03-21,2018-03-25,2018-03-21,2018-03-25,93.5
4805,4805,5,2018-09-22,2018-09-25,2018-09-22,2018-09-25,129.6
4806,4806,6,2017-10-25,2017-10-28,2017-10-25,2017-10-28,114.0
4807,4807,7,2017-08-05,2017-08-08,2017-08-05,2017-08-08,60.0
4808,4808,8,2018-11-21,2018-11-23,2018-11-21,2018-11-23,73.35
4809,4809,39,2017-11-06,2017-11-09,2017-11-06,2017-11-09,78.2
4810,4810,10,2018-05-19,2018-05-20,2018-05-19,2018-05-20,45.0
4811,4811,1,2018-01-13,2018-01-16,2018-01-13,2018-01-16,69.5
4812,4812,2,2018-10-23,2018-10-26,,,96.3
4813,4813,3,2018-05-31,2018-06-03,,,100.0
4814,4814,34,2017-11-05,2017-11-10,2017-11-05,2017-11-10,60.0
4815,4815,5,2018-09-15,2018-09-17,,,120.0
4816,4816,16,2018-12-02,2018-12-04,,,71.22
4817,4817,7,2018-06-28,2018-07-01,2018-06-28,2018-07-01,86.25
4818,4818,8,2018-10-14,2018-10-16,,,115.0
4819,4819,9,2018-07-07,2018-07-12,,,99.45
4820,4820,40,2018-09-23,2018-09-25,2018-09-23,2018-09-25,163.8
4821,4821,1,2018-04-08,2018-04-09,,,90.9
4822,4822,2,2017-09-12,2017-09-17,2017-09-12,2017-09-17,98.94
4823,4823,3,2018-11-25,2018-11-27,2018-11-25,2018-11-27,105.0
4824,4824,4,2018-11-24,2018-11-27,,,69.9
4825,4825,5,2017-10-16,2017-10-19,2017-10-16,2017-10-19,108.9
4826,4826,6,2018-06-24,2018-06-26,,,95.0
4827,4827,7,2018-06-19,2018-06-22,2018-06-19,2018-06-22,126.9
4828,4828,8,2018-05-18,2018-05-19,2018-05-18,2018-05-19,129.0
4829,4829,9,2018-10-10,2018-10-14,2018-10-10,2018-10-14,65.0
4830,4830,40,2017-12-30,2018-01-04,2017-12-30,2018-01-04,105.75
4831,4831,1,2018-09-16,2018-09-19,2018-09-16,2018-09-19,80.75
4832,4832,2,2017-08-12,2017-08-13,2017-08-12,2017-08-13,65.0
4833,4833,3,2018-10-14,2018-10-16,2018-10-14,2018-10-16,0.0
4834,4834,34,2018-07-27,2018-07-30,2018-07-27,2018-07-30,137.7
4835,4835,5,2018-08-05,2018-08-09,2018-08-05,2018-08-09,125.1
4836,4836,6,2018-02-17,2018-02-20,2018-02-17,2018-02-20,75.0
4837,4837,7,2018-05-31,2018-06-03,2018-05-31,2018-06-03,95.0
4838,4838,8,2018-09-27,2018-09-30,2018-09-27,2018-09-30,125.1
4839,4839,69,2018-04-16,2018-04-20,,,190.58
4840,4840,10,2018-08-30,2018-08-31,,,96.3
4841,4841,1,2018-07-11,2018-07-13,2018-07-11,2018-07-13,99.0
4842,4842,32,2018-12-02,2018-12-04,2018-12-02,2018-12-04,102.6
4843,4843,13,2017-12-19,2017-12-20,2017-12-19,2017-12-20,77.25
4844,4844,4,2018-10-17,2018-10-20,2018-10-17,2018-10-20,85.0
4845,4845,5,2018-03-25,2018-03-28,,,130.0
4846,4846,36,2017-11-14,2017-11-15,2017-11-14,2017-11-15,107.0
4847,4847,7,2018-05-05,2018-05-08,,,100.0
4848,4848,8,2017-08-14,2017-08-16,2017-08-14,2017-08-16,109.0
4849,4849,9,2018-04-16,2018-04-18,2018-04-16,2018-04-18,77.77
4850,4850,10,2018-09-15,2018-09-17,,,120.0
4851,4851,1,2018-10-26,2018-10-27,2018-10-26,2018-10-27,95.0
4852,4852,2,2017-11-09,2017-11-12,2017-11-09,2017-11-12,100.0
4853,4853,3,2018-12-20,2018-12-21,2018-12-20,2018-12-21,79.2
4854,4854,4,2018-04-28,2018-04-29,2018-04-28,2018-04-29,95.0
4855,4855,5,2017-12-05,2017-12-10,2017-12-05,2017-12-10,69.0
4856,4856,6,2018-06-23,2018-06-24,,,91.0
4857,4857,7,2018-10-16,2018-10-17,,,110.0
4858,4858,8,2018-04-06,2018-04-07,,,75.0
4859,4859,39,2018-04-13,2018-04-15,2018-04-13,2018-04-15,137.7
4860,4860,10,2018-07-09,2018-07-13,2018-07-09,2018-07-13,85.0
4861,4861,1,2018-08-24,2018-08-28,2018-08-24,2018-08-28,93.08
4862,4862,2,2018-09-11,2018-09-18,2018-09-11,2018-09-18,129.81
4863,4863,3,2018-12-16,2018-12-17,2018-12-16,2018-12-17,88.0
4864,4864,54,2018-10-16,2018-10-21,2018-10-16,2018-10-21,139.57
4865,4865,5,2018-11-28,2018-12-01,2018-11-28,2018-12-01,65.0
4866,4866,6,2018-12-14,2018-12-15,2018-12-14,2018-12-15,79.0
4867,4867,7,2018-09-27,2018-10-04,,,112.56
4868,4868,8,2018-04-09,2018-04-11,2018-04-09,2018-04-11,70.0
4869,4869,39,2018-02-22,2018-02-24,2018-02-22,2018-02-24,86.8
4870,4870,10,2018-08-04,2018-08-05,2018-08-04,2018-08-05,115.0
4871,4871,1,2018-07-23,2018-07-25,2018-07-23,2018-07-25,85.5
4872,4872,2,2017-09-04,2017-09-06,2017-09-04,2017-09-06,143.0
4873,4873,33,2018-08-29,2018-09-09,,,123.55
4874,4874,4,2018-11-13,2018-11-20,2018-11-13,2018-11-20,89.25
4875,4875,35,2018-05-21,2018-05-22,2018-05-21,2018-05-22,156.0
4876,4876,6,2018-10-27,2018-10-28,2018-10-27,2018-10-28,75.0
4877,4877,37,2018-05-17,2018-05-19,2018-05-17,2018-05-19,149.4
4878,4878,38,2018-04-20,2018-04-22,2018-04-20,2018-04-22,110.0
4879,4879,39,2018-06-07,2018-06-08,,,139.0
4880,4880,40,2018-07-14,2018-07-17,,,189.0
4881,4881,1,2018-02-19,2018-02-20,2018-02-19,2018-02-20,81.0
4882,4882,32,2018-03-03,2018-03-07,2018-03-03,2018-03-07,88.8
4883,4883,3,2018-07-05,2018-07-09,,,105.83
4884,4884,4,2018-04-24,2018-04-26,,,95.0
4885,4885,5,2017-11-18,2017-11-19,2017-11-18,2017-11-19,0.0
4886,4886,36,2018-06-01,2018-06-04,,,140.4
4887,4887,37,2018-06-13,2018-06-14,2018-06-13,2018-06-14,137.0
4888,4888,8,2018-09-10,2018-09-12,2018-09-10,2018-09-12,144.9
4889,4889,9,2018-06-03,2018-06-05,2018-06-03,2018-06-05,100.0
4890,4890,10,2018-01-29,2018-01-31,2018-01-29,2018-01-31,57.0
4891,4891,1,2018-03-02,2018-03-06,2018-03-02,2018-03-06,76.75
4892,4892,2,2017-08-07,2017-08-13,,,76.5
4893,4893,3,2018-08-08,2018-08-12,2018-08-08,2018-08-12,72.25
4894,4894,4,2018-12-08,2018-12-11,2018-12-08,2018-12-11,68.0
4895,4895,5,2018-08-21,2018-08-29,2018-08-21,2018-08-29,72.26
4896,4896,6,2018-11-10,2018-11-11,2018-11-10,2018-11-11,161.1
4897,4897,7,2018-11-29,2018-12-01,2018-11-29,2018-12-01,75.0
4898,4898,8,2017-09-30,2017-10-01,2017-09-30,2017-10-01,112.2
4899,4899,49,2018-08-25,2018-08-28,2018-08-25,2018-08-28,137.52
4900,4900,20,2018-03-30,2018-04-02,,,89.92
4901,4901,1,2018-01-19,2018-01-22,2018-01-19,2018-01-22,71.0
4902,4902,2,2018-12-05,2018-12-06,2018-12-05,2018-12-06,96.0
4903,4903,3,2018-06-24,2018-06-26,2018-06-24,2018-06-26,95.0
4904,4904,4,2018-11-07,2018-11-08,2018-11-07,2018-11-08,197.0
4905,4905,5,2018-08-28,2018-09-01,2018-08-28,2018-09-01,131.75
4906,4906,6,2018-05-05,2018-05-08,,,90.0
4907,4907,7,2018-07-23,2018-07-24,2018-07-23,2018-07-24,94.5
4908,4908,8,2018-10-13,2018-10-16,2018-10-13,2018-10-16,105.0
4909,4909,9,2018-11-04,2018-11-07,,,89.0
4910,4910,10,2018-02-10,2018-02-11,2018-02-10,2018-02-11,71.0
4911,4911,1,2018-10-07,2018-10-09,2018-10-07,2018-10-09,80.0
4912,4912,2,2018-10-28,2018-11-01,,,90.95
4913,4913,3,2018-02-28,2018-03-03,,,60.0
4914,4914,4,2018-11-04,2018-11-05,,,100.0
4915,4915,45,2018-10-28,2018-10-31,2018-10-28,2018-10-31,110.97
4916,4916,36,2018-07-01,2018-07-06,,,150.3
4917,4917,7,2018-06-15,2018-06-17,,,130.0
4918,4918,8,2018-12-02,2018-12-04,2018-12-02,2018-12-04,66.18
4919,4919,9,2017-09-27,2017-10-02,2017-09-27,2017-10-02,136.75
4920,4920,10,2018-04-18,2018-04-23,2018-04-18,2018-04-23,133.8
4921,4921,1,2018-12-16,2018-12-17,2018-12-16,2018-12-17,70.0
4922,4922,2,2018-07-27,2018-07-29,2018-07-27,2018-07-29,65.0
4923,4923,3,2017-09-14,2017-09-17,2017-09-14,2017-09-17,76.67
4924,4924,4,2018-09-02,2018-09-03,2018-09-02,2018-09-03,99.0
4925,4925,5,2018-03-23,2018-03-26,2018-03-23,2018-03-26,136.0
4926,4926,6,2018-06-15,2018-06-19,,,119.85
4927,4927,7,2018-04-06,2018-04-07,2018-04-06,2018-04-07,104.0
4928,4928,8,2017-09-15,2017-09-16,2017-09-15,2017-09-16,76.8
4929,4929,9,2018-03-14,2018-03-17,2018-03-14,2018-03-17,78.3
4930,4930,10,2017-10-16,2017-10-17,,,70.0
4931,4931,1,2018-02-05,2018-02-08,2018-02-05,2018-02-08,59.28
4932,4932,2,2018-06-15,2018-06-17,,,115.0
4933,4933,33,2018-05-28,2018-06-01,,,140.4
4934,4934,4,2018-07-11,2018-07-15,2018-07-11,2018-07-15,65.49
4935,4935,5,2018-01-05,2018-01-06,2018-01-05,2018-01-06,64.8
4936,4936,6,2018-06-26,2018-06-27,2018-06-26,2018-06-27,89.0
4937,4937,7,2018-07-23,2018-07-26,2018-07-23,2018-07-26,125.1
4938,4938,38,2018-08-30,2018-09-03,2018-08-30,2018-09-03,142.2
4939,4939,39,2018-08-26,2018-08-29,,,151.67
4940,4940,10,2018-07-17,2018-07-19,,,94.5
4941,4941,31,2018-03-23,2018-03-31,2018-03-23,2018-03-31,56.0
4942,4942,2,2018-08-23,2018-08-24,2018-08-23,2018-08-24,139.0
4943,4943,3,2018-04-15,2018-04-19,,,97.33
4944,4944,34,2017-11-12,2017-11-17,2017-11-12,2017-11-17,60.0
4945,4945,5,2018-06-09,2018-06-10,2018-06-09,2018-06-10,120.0
4946,4946,6,2017-11-13,2017-11-15,2017-11-13,2017-11-15,85.6
4947,4947,7,2018-10-05,2018-10-10,,,90.0
4948,4948,8,2018-07-20,2018-08-03,,,104.39
4949,4949,39,2018-04-01,2018-04-06,2018-04-01,2018-04-06,130.9
4950,4950,40,2018-10-16,2018-10-20,,,151.2
4951,4951,1,2018-04-25,2018-04-28,2018-04-25,2018-04-28,94.8
4952,4952,2,2018-03-16,2018-03-17,2018-03-16,2018-03-17,82.4
4953,4953,53,2018-04-25,2018-04-29,,,260.5
4954,4954,4,2017-11-20,2017-11-22,2017-11-20,2017-11-22,63.0
4955,4955,5,2018-09-13,2018-09-15,,,115.0
4956,4956,6,2018-06-09,2018-06-12,2018-06-09,2018-06-12,97.71
4957,4957,7,2018-09-10,2018-09-14,2018-09-10,2018-09-14,85.5
4958,4958,38,2018-04-20,2018-04-21,2018-04-20,2018-04-21,89.32
4959,4959,39,2018-09-15,2018-09-18,2018-09-15,2018-09-18,168.3
4960,4960,60,2018-07-23,2018-07-26,,,168.3
4961,4961,1,2018-09-26,2018-09-29,,,107.0
4962,4962,2,2018-11-11,2018-11-14,,,100.67
4963,4963,3,2017-12-04,2017-12-08,,,72.25
4964,4964,4,2017-09-13,2017-09-19,2017-09-13,2017-09-19,94.95
4965,4965,35,2018-05-23,2018-05-24,2018-05-23,2018-05-24,176.0
4966,4966,56,2018-09-19,2018-09-22,,,232.33
4967,4967,7,2018-10-12,2018-10-13,,,98.1
4968,4968,8,2018-09-05,2018-09-09,2018-09-05,2018-09-09,127.44
4969,4969,9,2017-08-23,2017-08-24,2017-08-23,2017-08-24,90.0
4970,4970,10,2017-12-11,2017-12-12,2017-12-11,2017-12-12,0.0
4971,4971,1,2017-12-03,2017-12-06,2017-12-03,2017-12-06,75.0
4972,4972,2,2017-08-01,2017-08-04,,,94.5
4973,4973,3,2018-04-06,2018-04-10,2018-04-06,2018-04-10,85.0
4974,4974,4,2018-06-13,2018-06-16,2018-06-13,2018-06-16,80.75
4975,4975,35,2018-09-25,2018-09-30,2018-09-25,2018-09-30,137.34
4976,4976,6,2018-02-19,2018-02-21,2018-02-19,2018-02-21,80.3
4977,4977,7,2018-10-13,2018-10-16,2018-10-13,2018-10-16,105.0
4978,4978,8,2018-08-23,2018-08-25,2018-08-23,2018-08-25,137.0
4979,4979,9,2018-04-26,2018-04-29,2018-04-26,2018-04-29,73.0
4980,4980,10,2018-09-22,2018-09-26,2018-09-22,2018-09-26,77.23
4981,4981,1,2018-06-02,2018-06-05,,,116.1
4982,4982,2,2018-03-11,2018-03-14,2018-03-11,2018-03-14,109.0
4983,4983,33,2018-04-01,2018-04-06,,,131.4
4984,4984,4,2018-09-30,2018-10-02,2018-09-30,2018-10-02,99.78
4985,4985,5,2018-11-17,2018-11-19,2018-11-17,2018-11-19,104.0
4986,4986,6,2018-11-13,2018-11-16,2018-11-13,2018-11-16,60.29
4987,4987,37,2018-10-26,2018-10-29,2018-10-26,2018-10-29,123.3
4988,4988,38,2018-04-15,2018-04-18,2018-04-15,2018-04-18,81.08
4989,4989,9,2018-04-16,2018-04-17,2018-04-16,2018-04-17,89.0
4990,4990,10,2018-06-24,2018-06-26,,,115.0
4991,4991,51,2018-10-06,2018-10-09,2018-10-06,2018-10-09,175.56
4992,4992,2,2018-03-03,2018-03-06,2018-03-03,2018-03-06,67.87
4993,4993,3,2018-05-18,2018-05-20,,,126.9
4994,4994,4,2018-11-06,2018-11-10,2018-11-06,2018-11-10,40.0
4995,4995,35,2018-09-02,2018-09-06,,,141.0
4996,4996,6,2018-03-24,2018-03-26,2018-03-24,2018-03-26,135.9
4997,4997,67,2018-03-09,2018-03-10,2018-03-09,2018-03-10,0.0
4998,4998,8,2018-09-15,2018-09-16,,,100.0
4999,4999,9,2018-03-07,2018-03-10,2018-03-07,2018-03-10,73.1
5000,5000,10,2018-06-14,2018-06-16,2018-06-14,2018-06-16,76.08
5001,5001,1,2017-11-22,2017-11-27,2017-11-22,2017-11-27,65.0
5002,5002,2,2017-10-29,2017-10-31,2017-10-29,2017-10-31,85.0
5003,5003,3,2018-09-08,2018-09-10,2018-09-08,2018-09-10,112.59
5004,5004,4,2018-08-13,2018-08-15,2018-08-13,2018-08-15,156.0
5005,5005,5,2017-10-08,2017-10-12,2017-10-08,2017-10-12,72.75
5006,5006,6,2018-02-06,2018-02-07,,,109.0
5007,5007,7,2018-01-19,2018-01-24,2018-01-19,2018-01-24,68.5
5008,5008,8,2017-09-16,2017-09-18,2017-09-16,2017-09-18,94.5
5009,5009,9,2018-04-25,2018-04-28,2018-04-25,2018-04-28,80.75
5010,5010,10,2018-05-16,2018-05-19,2018-05-16,2018-05-19,75.0
5011,5011,1,2018-02-23,2018-02-24,,,79.0
5012,5012,2,2018-10-10,2018-10-13,,,120.0
5013,5013,3,2017-09-24,2017-09-26,2017-09-24,2017-09-26,105.0
5014,5014,4,2018-03-02,2018-03-03,2018-03-02,2018-03-03,65.0
5015,5015,35,2018-10-26,2018-10-28,2018-10-26,2018-10-28,80.39
5016,5016,46,2017-09-28,2017-09-30,,,138.0
5017,5017,7,2018-06-26,2018-06-28,2018-06-26,2018-06-28,89.1
5018,5018,38,2018-11-02,2018-11-06,2018-11-02,2018-11-06,73.37
5019,5019,39,2018-03-02,2018-03-05,,,109.33
5020,5020,10,2018-09-30,2018-10-03,,,160.0
5021,5021,1,2018-04-02,2018-04-03,2018-04-02,2018-04-03,6.0
5022,5022,32,2017-12-30,2018-01-04,2017-12-30,2018-01-04,105.75
5023,5023,3,2017-12-26,2017-12-30,2017-12-26,2017-12-30,99.5
5024,5024,4,2018-02-13,2018-02-14,2018-02-13,2018-02-14,70.0
5025,5025,35,2018-11-10,2018-11-11,2018-11-10,2018-11-11,95.0
5026,5026,6,2018-05-17,2018-05-20,2018-05-17,2018-05-20,130.0
5027,5027,7,2017-08-15,2017-08-18,,,94.5
5028,5028,38,2018-10-09,2018-10-13,,,103.84
5029,5029,9,2018-09-28,2018-10-02,2018-09-28,2018-10-02,140.0
5030,5030,10,2018-08-03,2018-08-07,2018-08-03,2018-08-07,89.25
5031,5031,1,2018-04-16,2018-04-17,2018-04-16,2018-04-17,89.0
5032,5032,32,2018-08-09,2018-08-12,,,137.7
5033,5033,53,2018-12-28,2019-01-04,2018-12-28,2019-01-04,148.26
5034,5034,4,2017-12-04,2017-12-08,2017-12-04,2017-12-08,72.25
5035,5035,5,2017-10-03,2017-10-04,,,89.25
5036,5036,6,2018-12-20,2018-12-27,2018-12-20,2018-12-27,74.8
5037,5037,37,2018-12-26,2018-12-27,,,103.5
5038,5038,8,2018-10-29,2018-11-02,2018-10-29,2018-11-02,70.0
5039,5039,9,2018-07-05,2018-07-08,2018-07-05,2018-07-08,110.46
5040,5040,60,2018-03-18,2018-03-20,,,162.45
5041,5041,1,2017-10-02,2017-10-04,2017-10-02,2017-10-04,100.0
5042,5042,2,2018-09-12,2018-09-19,,,105.4
5043,5043,3,2017-09-18,2017-09-20,2017-09-18,2017-09-20,145.35
5044,5044,34,2018-05-21,2018-05-26,,,132.6
5045,5045,5,2018-01-03,2018-01-06,2018-01-03,2018-01-06,65.0
5046,5046,36,2018-09-15,2018-09-17,,,166.9
5047,5047,37,2018-05-12,2018-05-17,,,132.6
5048,5048,8,2018-10-12,2018-10-13,2018-10-12,2018-10-13,65.0
5049,5049,9,2018-06-02,2018-06-03,2018-06-02,2018-06-03,119.0
5050,5050,10,2017-10-05,2017-10-07,2017-10-05,2017-10-07,90.6
5051,5051,1,2018-10-14,2018-10-18,,,115.0
5052,5052,2,2018-01-17,2018-01-18,2018-01-17,2018-01-18,0.0
5053,5053,3,2017-12-19,2017-12-25,,,72.25
5054,5054,4,2018-10-10,2018-10-13,,,120.0
5055,5055,5,2018-07-09,2018-07-13,2018-07-09,2018-07-13,135.9
5056,5056,6,2018-10-10,2018-10-13,,,120.0
5057,5057,7,2018-01-25,2018-01-29,2018-01-25,2018-01-29,58.94
5058,5058,8,2018-12-27,2018-12-28,2018-12-27,2018-12-28,65.0
5059,5059,9,2018-02-07,2018-02-09,2018-02-07,2018-02-09,87.0
5060,5060,10,2018-02-03,2018-02-08,2018-02-03,2018-02-08,71.0
5061,5061,31,2018-07-07,2018-07-11,,,129.6
5062,5062,2,2018-09-08,2018-09-11,,,110.0
5063,5063,3,2018-08-31,2018-09-03,2018-08-31,2018-09-03,120.53
5064,5064,4,2018-06-22,2018-06-24,,,160.65
5065,5065,35,2018-09-07,2018-09-10,,,136.8
5066,5066,6,2018-03-11,2018-03-13,,,127.0
5067,5067,7,2018-05-16,2018-05-18,2018-05-16,2018-05-18,114.3
5068,5068,8,2018-03-23,2018-03-26,2018-03-23,2018-03-26,40.67
5069,5069,9,2018-04-01,2018-04-04,2018-04-01,2018-04-04,87.3
5070,5070,10,2018-07-15,2018-07-19,2018-07-15,2018-07-19,79.56
5071,5071,1,2018-08-29,2018-09-01,2018-08-29,2018-09-01,86.63
5072,5072,32,2018-12-08,2018-12-12,2018-12-08,2018-12-12,96.9
5073,5073,3,2017-08-28,2017-08-30,2017-08-28,2017-08-30,123.5
5074,5074,4,2017-08-24,2017-08-28,2017-08-24,2017-08-28,90.0
5075,5075,5,2018-04-27,2018-04-28,2018-04-27,2018-04-28,165.15
5076,5076,6,2017-12-13,2017-12-16,2017-12-13,2017-12-16,87.0
5077,5077,7,2017-10-16,2017-10-18,2017-10-16,2017-10-18,109.0
5078,5078,8,2018-05-06,2018-05-08,2018-05-06,2018-05-08,158.0
5079,5079,9,2017-10-03,2017-10-08,2017-10-03,2017-10-08,74.15
5080,5080,10,2018-12-15,2018-12-25,2018-12-15,2018-12-25,74.8
5081,5081,1,2018-05-22,2018-05-26,,,103.55
5082,5082,2,2017-10-02,2017-10-04,2017-10-02,2017-10-04,100.0
5083,5083,3,2018-08-26,2018-08-27,,,85.5
5084,5084,4,2018-06-30,2018-07-04,,,85.0
5085,5085,5,2018-08-13,2018-08-17,2018-08-13,2018-08-17,88.73
5086,5086,36,2018-12-03,2018-12-04,2018-12-03,2018-12-04,126.0
5087,5087,7,2017-08-15,2017-08-18,2017-08-15,2017-08-18,94.5
5088,5088,8,2018-11-11,2018-11-12,2018-11-11,2018-11-12,90.0
5089,5089,9,2018-06-20,2018-06-23,,,120.0
5090,5090,40,2018-10-13,2018-10-17,,,134.73
5091,5091,31,2018-04-23,2018-04-25,,,146.0
5092,5092,2,2018-05-26,2018-05-27,,,161.0
5093,5093,3,2017-10-07,2017-10-11,2017-10-07,2017-10-11,65.0
5094,5094,4,2017-10-06,2017-10-10,2017-10-06,2017-10-10,148.5
5095,5095,35,2018-01-26,2018-01-29,2018-01-26,2018-01-29,117.0
5096,5096,6,2018-11-03,2018-11-06,,,89.0
5097,5097,37,2018-05-07,2018-05-13,2018-05-07,2018-05-13,132.6
5098,5098,8,2018-09-15,2018-09-17,,,120.0
5099,5099,9,2018-06-20,2018-06-24,2018-06-20,2018-06-24,72.25
5100,5100,10,2018-11-16,2018-11-20,2018-11-16,2018-11-20,88.4
5101,5101,1,2018-05-10,2018-05-13,2018-05-10,2018-05-13,126.0
5102,5102,32,2018-01-29,2018-02-01,2018-01-29,2018-02-01,87.3
5103,5103,33,2018-09-27,2018-10-01,,,128.99
5104,5104,4,2018-06-05,2018-06-10,2018-06-05,2018-06-10,90.97
5105,5105,5,2018-10-20,2018-10-21,2018-10-20,2018-10-21,150.0
5106,5106,6,2018-05-13,2018-05-16,,,95.0
5107,5107,37,2018-04-27,2018-04-28,,,167.0
5108,5108,8,2018-06-21,2018-06-23,,,99.9
5109,5109,9,2018-12-02,2018-12-04,2018-12-02,2018-12-04,59.84
5110,5110,40,2018-07-26,2018-07-30,2018-07-26,2018-07-30,118.8
5111,5111,1,2018-10-13,2018-10-16,2018-10-13,2018-10-16,105.0
5112,5112,2,2018-07-24,2018-07-27,2018-07-24,2018-07-27,96.9
5113,5113,3,2018-12-31,2019-01-03,,,86.7
5114,5114,4,2018-06-24,2018-06-26,,,95.0
5115,5115,5,2018-11-18,2018-11-21,2018-11-18,2018-11-21,88.0
5116,5116,6,2017-12-29,2018-01-01,2017-12-29,2018-01-01,75.0
5117,5117,7,2017-12-06,2017-12-08,2017-12-06,2017-12-08,94.6
5118,5118,8,2017-09-09,2017-09-11,2017-09-09,2017-09-11,100.0
5119,5119,39,2017-12-11,2017-12-12,2017-12-11,2017-12-12,97.0
5120,5120,10,2018-08-14,2018-08-18,,,152.1
5121,5121,1,2018-05-19,2018-05-23,,,80.0
5122,5122,32,2018-05-13,2018-05-16,,,140.4
5123,5123,33,2018-06-16,2018-06-19,2018-06-16,2018-06-19,115.04
5124,5124,4,2017-12-31,2018-01-09,2017-12-31,2018-01-09,90.78
5125,5125,5,2018-04-08,2018-04-09,,,85.5
5126,5126,66,2018-02-03,2018-02-07,2018-02-03,2018-02-07,102.0
5127,5127,37,2018-07-01,2018-07-03,,,150.3
5128,5128,8,2018-07-23,2018-07-26,,,137.7
5129,5129,9,2018-10-27,2018-10-31,2018-10-27,2018-10-31,90.95
5130,5130,10,2018-05-22,2018-05-26,,,89.25
5131,5131,1,2018-12-06,2018-12-12,2018-12-06,2018-12-12,88.4
5132,5132,2,2018-12-27,2019-01-02,2018-12-27,2019-01-02,70.0
5133,5133,3,2018-05-07,2018-05-08,2018-05-07,2018-05-08,125.1
5134,5134,4,2018-07-27,2018-07-30,2018-07-27,2018-07-30,105.3
